artifact_id,copied_filename,original_filename,original_path,archive_path,tier,artifact_type,experiment,dataset_version,model,relevance,source_commit,date,sha256,file_size,original_or_derived,description
ART_0138,current_final_pred_gaze_interaction.csv,gaze_interaction.csv,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/final/predictions/gaze_interaction.csv,Research Paper/04_RESULTS/02_CURRENT_FINAL_EXPERIMENT/03_PREDICTIONS/current_final_pred_gaze_interaction.csv,TIER A,general,CURRENT_FINAL_EXPERIMENT,Dataset 3 (Final Balanced),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 16:12:25,cee24c3f2f14b65cd64d083f831c1fd3b9d658cb9692c0ec55812243fa071d92,2219747,ORIGINAL-COPY,Copied from results/final/predictions/gaze_interaction.csv
ART_0139,current_final_pred_gaze_only.csv,gaze_only.csv,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/final/predictions/gaze_only.csv,Research Paper/04_RESULTS/02_CURRENT_FINAL_EXPERIMENT/03_PREDICTIONS/current_final_pred_gaze_only.csv,TIER A,general,CURRENT_FINAL_EXPERIMENT,Dataset 3 (Final Balanced),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 16:12:24,4656d5296be498aa4b509eb5f42a02103ae0dad11ab80eb3ffbd00ac6a2670ad,2498665,ORIGINAL-COPY,Copied from results/final/predictions/gaze_only.csv
ART_0140,current_final_pred_interaction_environment.csv,interaction_environment.csv,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/final/predictions/interaction_environment.csv,Research Paper/04_RESULTS/02_CURRENT_FINAL_EXPERIMENT/03_PREDICTIONS/current_final_pred_interaction_environment.csv,TIER A,general,CURRENT_FINAL_EXPERIMENT,Dataset 3 (Final Balanced),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 16:12:25,5f931696aa22e6a590fa6e1b3418dc58a0a5f2e091955336a09128568c4ef183,2493863,ORIGINAL-COPY,Copied from results/final/predictions/interaction_environment.csv
ART_0141,current_final_pred_interaction_only.csv,interaction_only.csv,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/final/predictions/interaction_only.csv,Research Paper/04_RESULTS/02_CURRENT_FINAL_EXPERIMENT/03_PREDICTIONS/current_final_pred_interaction_only.csv,TIER A,general,CURRENT_FINAL_EXPERIMENT,Dataset 3 (Final Balanced),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 16:12:24,eab1de749902e5f60e0e9ea47b1e223f91980d2ca15b82c337437556f218d082,2260472,ORIGINAL-COPY,Copied from results/final/predictions/interaction_only.csv
ART_0142,current_final_pred_late_fusion.csv,late_fusion.csv,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/final/predictions/late_fusion.csv,Research Paper/04_RESULTS/02_CURRENT_FINAL_EXPERIMENT/03_PREDICTIONS/current_final_pred_late_fusion.csv,TIER A,general,CURRENT_FINAL_EXPERIMENT,Dataset 3 (Final Balanced),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 16:12:26,7bb68ae7837f87b4407028c6043990ff631ad50266f5c20db05f10fa5a6ae716,2061838,ORIGINAL-COPY,Copied from results/final/predictions/late_fusion.csv
ART_0143,current_final_stress_results.csv,stress_results.csv,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/final/stress_tests/stress_results.csv,Research Paper/06_ROBUSTNESS/01_RESULTS/current_final_stress_results.csv,TIER A,general,CURRENT_FINAL_EXPERIMENT,Dataset 3 (Final Balanced),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 16:12:27,d98b8f31afd380fc357ecf2f5a110acf49b2beba4890b7f27b901aea28c6e8dd,10677,ORIGINAL-COPY,Copied from results/final/stress_tests/stress_results.csv
ART_0144,current_final_stress_results.json,stress_results.json,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/final/stress_tests/stress_results.json,Research Paper/06_ROBUSTNESS/01_RESULTS/current_final_stress_results.json,TIER A,general,CURRENT_FINAL_EXPERIMENT,Dataset 3 (Final Balanced),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 16:12:27,67c9e173bf184b920bdcb574c85f04f2e7919023782c113e42d82d38a11f2b0c,22893,ORIGINAL-COPY,Copied from results/final/stress_tests/stress_results.json
ART_0145,first_experiment_attention_diagnostics.csv,attention_diagnostics.csv,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/explanations/attention_diagnostics.csv,Research Paper/04_RESULTS/01_FIRST_EXPERIMENT/01_RAW_RESULTS/first_experiment_attention_diagnostics.csv,TIER A,general,FIRST_EXPERIMENT,Dataset 1 (Initial Synthetic),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 15:28:04,4cc48d37d865307b07e59f03990b93d7e50e8cfb4d67e7ab23bfaa00c5799887,401,ORIGINAL-COPY,Copied from results/model_1_initial_dataset/run1/explanations/attention_diagnostics.csv
ART_0146,first_experiment_error_analysis.csv,error_analysis.csv,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/explanations/error_analysis.csv,Research Paper/04_RESULTS/01_FIRST_EXPERIMENT/01_RAW_RESULTS/first_experiment_error_analysis.csv,TIER A,general,FIRST_EXPERIMENT,Dataset 1 (Initial Synthetic),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 15:28:04,21df3fa2ab2aa6dafb4010af749f136a1b9724c618feafb429cf3af8bfb92d5b,66,ORIGINAL-COPY,Copied from results/model_1_initial_dataset/run1/explanations/error_analysis.csv
ART_0147,first_experiment_hypothesis_results.json,hypothesis_results.json,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/metrics/hypothesis_results.json,Research Paper/04_RESULTS/01_FIRST_EXPERIMENT/01_RAW_RESULTS/first_experiment_hypothesis_results.json,TIER A,general,FIRST_EXPERIMENT,Dataset 1 (Initial Synthetic),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 15:28:04,575ef5e51ae4d4b18bad20af57f7b70d07a7780d4c679f73322952ee315a0ad1,404,ORIGINAL-COPY,Copied from results/model_1_initial_dataset/run1/metrics/hypothesis_results.json
ART_0148,first_experiment_results.csv,results.csv,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/metrics/results.csv,Research Paper/04_RESULTS/01_FIRST_EXPERIMENT/01_RAW_RESULTS/first_experiment_results.csv,TIER A,general,FIRST_EXPERIMENT,Dataset 1 (Initial Synthetic),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 15:28:04,00ce9c47e66e765a540ca3331aafbcbb2c15ac7e1e6b39605120aace0d546ac2,1768,ORIGINAL-COPY,Copied from results/model_1_initial_dataset/run1/metrics/results.csv
ART_0149,first_experiment_results.json,results.json,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/metrics/results.json,Research Paper/04_RESULTS/01_FIRST_EXPERIMENT/01_RAW_RESULTS/first_experiment_results.json,TIER A,general,FIRST_EXPERIMENT,Dataset 1 (Initial Synthetic),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 15:28:04,a9204756df7a29bc70ba7a1f98fd46a2e2a61b61ece7e8f3e2f383cba464d69a,4129,ORIGINAL-COPY,Copied from results/model_1_initial_dataset/run1/metrics/results.json
ART_0150,first_experiment_attention_fusion.csv,attention_fusion.csv,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/predictions/attention_fusion.csv,Research Paper/04_RESULTS/01_FIRST_EXPERIMENT/01_RAW_RESULTS/first_experiment_attention_fusion.csv,TIER A,general,FIRST_EXPERIMENT,Dataset 1 (Initial Synthetic),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 15:28:04,432fe95467ea5a8e0c51a2ebd92fbc7c74d5efdb395abb8ef51fdd8f5509b679,44726,ORIGINAL-COPY,Copied from results/model_1_initial_dataset/run1/predictions/attention_fusion.csv
ART_0151,first_experiment_early_fusion.csv,early_fusion.csv,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/predictions/early_fusion.csv,Research Paper/04_RESULTS/01_FIRST_EXPERIMENT/01_RAW_RESULTS/first_experiment_early_fusion.csv,TIER A,general,FIRST_EXPERIMENT,Dataset 1 (Initial Synthetic),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 15:28:04,397069cb98da88990bba7d69f6d50ab7c9945ff50be2deebc58c2a8605bc16bc,51910,ORIGINAL-COPY,Copied from results/model_1_initial_dataset/run1/predictions/early_fusion.csv
ART_0152,first_experiment_environment_only.csv,environment_only.csv,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/predictions/environment_only.csv,Research Paper/04_RESULTS/01_FIRST_EXPERIMENT/01_RAW_RESULTS/first_experiment_environment_only.csv,TIER A,general,FIRST_EXPERIMENT,Dataset 1 (Initial Synthetic),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 15:28:04,eea646097b7b656763bc1deb138eb43de16c2917b829df89fa59f7de2e0af559,43077,ORIGINAL-COPY,Copied from results/model_1_initial_dataset/run1/predictions/environment_only.csv
ART_0153,first_experiment_gaze_environment.csv,gaze_environment.csv,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/predictions/gaze_environment.csv,Research Paper/04_RESULTS/01_FIRST_EXPERIMENT/01_RAW_RESULTS/first_experiment_gaze_environment.csv,TIER A,general,FIRST_EXPERIMENT,Dataset 1 (Initial Synthetic),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 15:28:04,a973879d187afa97f6f5da6f54396efe9dc27f3ed9b4ac64aff1e8c7ceda2784,42204,ORIGINAL-COPY,Copied from results/model_1_initial_dataset/run1/predictions/gaze_environment.csv
ART_0154,first_experiment_gaze_interaction.csv,gaze_interaction.csv,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/predictions/gaze_interaction.csv,Research Paper/04_RESULTS/01_FIRST_EXPERIMENT/01_RAW_RESULTS/first_experiment_gaze_interaction.csv,TIER A,general,FIRST_EXPERIMENT,Dataset 1 (Initial Synthetic),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 15:28:04,c0e0b6e58210b7ce143e1a272726f58da2b9e56841048214eebb552bfb88c2e3,43675,ORIGINAL-COPY,Copied from results/model_1_initial_dataset/run1/predictions/gaze_interaction.csv
ART_0155,first_experiment_gaze_only.csv,gaze_only.csv,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/predictions/gaze_only.csv,Research Paper/04_RESULTS/01_FIRST_EXPERIMENT/01_RAW_RESULTS/first_experiment_gaze_only.csv,TIER A,general,FIRST_EXPERIMENT,Dataset 1 (Initial Synthetic),N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 15:28:04,bab39b4b11461f73c9e8682a6718451e089a4c0d51140f8c4e9a79ff09745ca2,47972,ORIGINAL-COPY,Copied from results/model_1_initial_dataset/run1/predictions/gaze_only.csv
