auc_roc,pr_auc,f1,precision,recall,fpr,fnr,brier,ece,threshold,tp,fp,tn,fn,model_key,model,parameter_count
0.9770536775104164,0.9840595465286288,0.9648572424501696,0.9954881318250179,0.9360550909985244,0.003963694852941176,0.06394490900147565,0.029301820852392566,0.011241281562413753,0.73,15224,69,17339,1040,gaze_interaction,Gaze + Interaction,3073
0.9555858800692751,0.9629542255254254,0.8771918172157279,0.9537117273252456,0.8120388588293163,0.036822150735294115,0.18796114117068372,0.07671053710082505,0.014041728572975278,0.5399999999999999,13207,641,16767,3057,gaze_environment,Gaze + Environment,2945
0.9599359537218839,0.9690850365888879,0.9029569098487086,0.9683254733582037,0.8458558780127889,0.02585018382352941,0.15414412198721103,0.06460973769334036,0.011705527771339572,0.58,13757,450,16958,2507,interaction_environment,Interaction + Environment,2945
0.9838957254134898,0.988671568308477,0.9770508272376228,0.9982038616973506,0.9567757009345794,0.001608455882352941,0.04322429906542056,0.02156377936245457,0.013575524888511405,0.9299999999999999,15561,28,17380,703,attention_fusion,Three-stream Attention Fusion,93825
